judge,case_count,affirmed,reversed,modified,granted,denied,dismissed,unknown
"Rosado, J.",22,18,4,0,0,0,0,0
"Shulman, J.",22,19,3,0,0,0,0,0
"Hagler, J.",21,18,3,0,0,0,0,0
"Higgitt, J.",21,18,3,0,0,0,0,0
"Webber, J.",21,18,3,0,0,0,0,0
"Moulton, J.",16,14,2,0,0,0,0,0
"Chan, J.",15,14,1,0,0,0,0,0
"Michael, J.",14,13,1,0,0,0,0,0
"Pitt-burke, J.",14,13,1,0,0,0,0,0
"Scarpulla, J.",2,1,1,0,0,0,0,0
"Dominguez, J.",1,1,0,0,0,0,0,0
"Gesmer, J.",1,0,1,0,0,0,0,0
"Kapnick, J.",1,1,0,0,0,0,0,0
"Kelley, J.",1,1,0,0,0,0,0,0
"Mendez, J.",1,1,0,0,0,0,0,0
"Pollack, J.",1,1,0,0,0,0,0,0
"Rosenblueth, J.",1,1,0,0,0,0,0,0
"Smith, J.",1,1,0,0,0,0,0,0
