Judge,Cases,Main Outcome,Affirmed,Reversed
Unknown Judge,60,Mostly Affirmed,0,0
"Shulman, J.",22,Mostly Affirmed,19,3
"Rosado, J.",22,Mostly Affirmed,18,4
"Webber, J.",21,Mostly Affirmed,18,3
"Higgitt, J.",21,Mostly Affirmed,18,3
"Hagler, J.",21,Mostly Affirmed,18,3
"Moulton, J.",16,Mostly Affirmed,14,2
"Chan, J.",15,Mostly Affirmed,14,1
"Pitt-burke, J.",14,Mostly Affirmed,13,1
"Michael, J.",14,Mostly Affirmed,13,1
"Scarpulla, J.",2,Mostly Affirmed,1,1
"Smith, J.",1,Mostly Affirmed,1,0
"Pollack, J.",1,Mostly Affirmed,1,0
"Rosenblueth, J.",1,Mostly Affirmed,1,0
"Kelley, J.",1,Mostly Affirmed,1,0
"Mendez, J.",1,Mostly Affirmed,1,0
"Gesmer, J.",1,Mostly Reversed,0,1
"Kapnick, J.",1,Mostly Affirmed,1,0
"Dominguez, J.",1,Mostly Affirmed,1,0
